pokemon,acquire_as,acquisition_kind,acquisition_index,acquisition_method,acquisition_location,encounter_index,encounter_location,encounter_method,weather,rarity_percent,level_min,level_max,pokemon_declared_badge,acquisition_declared_badge,declared_badge_used,computed_minimum_badge,gate_reasons,review_flags,validation_result
Grapploct,Clobbopus,primary,0,wild_encounter,Route 9 — Circhester Bay,1,Route 9 — Circhester Bay,Overworld,All Weather,30,39,43,6,,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Grapploct,Clobbopus,primary,0,wild_encounter,Route 9 — Circhester Bay,2,Route 9 — Outer Spikemuth,Overworld,Normal Weather,30,40,44,6,,6,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,OK
Pincurchin,Pincurchin,primary,0,wild_encounter,Route 9,1,Route 9,Random,All Weather,5,38,42,6,,6,6,Route 9 is accessible after 6 badge(s) | Lv. 38 minimum requires 4 badge(s) under the wild catch cap,,OK
Pincurchin,Pincurchin,primary,0,wild_encounter,Route 9,2,Route 9 — Circhester Bay,Random,All Weather,5,39,43,6,,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Mantine,Mantyke,primary,0,wild_encounter,Route 9 — Circhester Bay,1,Route 9 — Circhester Bay,Surf,All Weather,35,39,43,6,,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Mantine,Mantyke,primary,0,wild_encounter,Route 9 — Circhester Bay,2,Route 9 — Circhester Bay,Fishing,All Weather,50,39,43,6,,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Wailord,Wailmer,primary,0,wild_encounter,Route 9 — Circhester Bay,1,Route 9 — Circhester Bay,Surf,All Weather,40,39,43,6,,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Wailord,Wailmer,primary,0,wild_encounter,Route 9 — Circhester Bay,2,Route 9 — Circhester Bay,Fishing,All Weather,34,39,43,6,,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Avalugg,Bergmite,primary,0,wild_encounter,Route 9 — Circhester Bay,1,Route 9 — Circhester Bay,Overworld,All Weather,15,39,43,6,,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Avalugg,Bergmite,primary,0,wild_encounter,Route 9 — Circhester Bay,2,Route 9 — Outer Spikemuth,Overworld,Normal Weather,40,40,44,6,,6,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,OK
Dhelmise,Dhelmise,primary,0,wild_encounter,Route 9 — Circhester Bay,1,Route 9 — Circhester Bay,Overworld,All Weather,1,39,43,6,6,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Dhelmise,Dhelmise,primary,0,wild_encounter,Route 9 — Circhester Bay,2,Route 9 — Outer Spikemuth,Overworld,Normal Weather,1,40,44,6,6,6,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,OK
Dhelmise,Dhelmise,alternate,1,max_raid_battle,Wild Area,1,,,,,,,6,8,8,8,5★ Max Raids require 8 badge(s),,OK
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,1,,Overworld,Normal Weather,1,40,44,6,7,7,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_RESTRICTIVE
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,2,,Overworld,Overcast,1,40,44,6,7,7,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_RESTRICTIVE
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,3,,Overworld,Raining,1,40,44,6,7,7,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_RESTRICTIVE
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,4,,Overworld,Thunderstorm,1,40,44,6,7,7,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_RESTRICTIVE
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,5,,Overworld,Intense Sun,1,40,44,6,7,7,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_RESTRICTIVE
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,6,,Overworld,Snowing,1,40,44,6,7,7,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_RESTRICTIVE
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,7,,Overworld,Snowstorm,1,40,44,6,7,7,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Snowstorm unlocks after 3 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_RESTRICTIVE
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,8,,Overworld,Sandstorm,1,40,44,6,7,7,6,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Sandstorm unlocks after 3 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_RESTRICTIVE
Dhelmise,Dhelmise,alternate,2,wild_encounter,Route 9 — Outer Spikemuth,9,,Overworld,Fog,1,40,44,6,7,7,8,Route 9 — Outer Spikemuth is accessible after 6 badge(s) | Fog unlocks after 8 badge(s) | Lv. 40 minimum requires 4 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Lapras,Lapras,primary,0,wild_encounter,Route 9 — Circhester Bay,1,Route 9 — Circhester Bay,Fishing,All Weather,1,39,43,6,,6,6,Route 9 — Circhester Bay is accessible after 6 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Lapras,Lapras,primary,0,wild_encounter,Route 9 — Circhester Bay,2,Route 2 — Lake,Wandering,All Weather,,55,55,6,,6,7,Lv. 55 minimum requires 7 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Solrock,Solrock,primary,0,wild_encounter,Route 8,1,Route 8,Overworld,All Weather,5,39,41,5,,5,5,Route 8 is accessible after 5 badge(s) | Lv. 39 minimum requires 4 badge(s) under the wild catch cap,,OK
Solrock,Solrock,primary,0,wild_encounter,Route 8,2,Giant's Cap — Area 2,Underground,All Weather,100,41,44,5,,5,5,Lv. 41 minimum requires 5 badge(s) under the wild catch cap,,OK
Mr. Rime,Galarian Mr. Mime,primary,0,wild_encounter,Route 10 — Winter Hill Station,1,Route 10 — Winter Hill Station,Overworld,All Weather,30,45,48,8,,8,8,Route 10 — Winter Hill Station is accessible after 8 badge(s) | Lv. 45 minimum requires 5 badge(s) under the wild catch cap,,OK
Mr. Rime,Galarian Mr. Mime,primary,0,wild_encounter,Route 10 — Winter Hill Station,2,Route 10,Overworld,All Weather,40,45,48,8,,8,8,Route 10 is accessible after 8 badge(s) | Lv. 45 minimum requires 5 badge(s) under the wild catch cap,,OK
Darmanitan,Galarian Darumaka,primary,0,wild_encounter,Route 8 — Steamdrift Way,1,Route 8 — Steamdrift Way,Random,All Weather,5,38,41,5,,5,5,Route 8 — Steamdrift Way is accessible after 5 badge(s) | Lv. 38 minimum requires 4 badge(s) under the wild catch cap,,OK
Darmanitan,Galarian Darumaka,primary,0,wild_encounter,Route 8 — Steamdrift Way,2,Route 10 — Winter Hill Station,Random,All Weather,5,43,46,5,,5,8,Route 10 — Winter Hill Station is accessible after 8 badge(s) | Lv. 43 minimum requires 5 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Stonjourner,Stonjourner,primary,0,wild_encounter,Lake of Outrage,1,Lake of Outrage,Random,Intense Sun,2,50,52,6,,6,6,Lake of Outrage is accessible after 6 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Stonjourner,Stonjourner,primary,0,wild_encounter,Lake of Outrage,2,Route 10,Random,All Weather,2,44,46,6,,6,8,Route 10 is accessible after 8 badge(s) | Lv. 44 minimum requires 5 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Duraludon,Duraludon,primary,0,wild_encounter,Lake of Outrage,1,Lake of Outrage,Random,Snowstorm,2,50,52,6,,6,6,Lake of Outrage is accessible after 6 badge(s) | Snowstorm unlocks after 3 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Duraludon,Duraludon,primary,0,wild_encounter,Lake of Outrage,2,Route 10,Overworld,All Weather,1,45,48,6,,6,8,Route 10 is accessible after 8 badge(s) | Lv. 45 minimum requires 5 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Rotom,Rotom,primary,0,wild_encounter,Lake of Outrage,1,Lake of Outrage,Overworld,Raining,2,55,58,7,,7,7,Lake of Outrage is accessible after 6 badge(s) | Lv. 55 minimum requires 7 badge(s) under the wild catch cap,,OK
Rotom,Rotom,primary,0,wild_encounter,Lake of Outrage,2,Lake of Outrage,Overworld,Thunderstorm,2,55,58,7,,7,7,Lake of Outrage is accessible after 6 badge(s) | Lv. 55 minimum requires 7 badge(s) under the wild catch cap,,OK
Ditto,Ditto,primary,0,wild_encounter,Lake of Outrage,1,Lake of Outrage,Random,Normal Weather,2,50,52,6,,6,6,Lake of Outrage is accessible after 6 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Ditto,Ditto,primary,0,wild_encounter,Lake of Outrage,2,Lake of Outrage,Overworld,Normal Weather,10,55,58,6,,6,7,Lake of Outrage is accessible after 6 badge(s) | Lv. 55 minimum requires 7 badge(s) under the wild catch cap,,TOO_PERMISSIVE
Dracozolt,Dracozolt,primary,0,fossil_restoration,Route 6 — Cara Liss,1,Route 6 — Cara Liss,Restore Fossilized Bird + Fossilized Drake,Not applicable,100,10,10,3,,3,3,Route 6 — Cara Liss is accessible after 3 badge(s),,OK
Arctozolt,Arctozolt,primary,0,fossil_restoration,Route 6 — Cara Liss,1,Route 6 — Cara Liss,Restore Fossilized Bird + Fossilized Dino,Not applicable,100,10,10,3,,3,3,Route 6 — Cara Liss is accessible after 3 badge(s),,OK
Dracovish,Dracovish,primary,0,fossil_restoration,Route 6 — Cara Liss,1,Route 6 — Cara Liss,Restore Fossilized Fish + Fossilized Drake,Not applicable,100,10,10,3,,3,3,Route 6 — Cara Liss is accessible after 3 badge(s),,OK
Arctovish,Arctovish,primary,0,fossil_restoration,Route 6 — Cara Liss,1,Route 6 — Cara Liss,Restore Fossilized Fish + Fossilized Dino,Not applicable,100,10,10,3,,3,3,Route 6 — Cara Liss is accessible after 3 badge(s),,OK
Charizard,Charmander,primary,0,gift,Postwick — Leon's room,1,Postwick — Leon's room,Gift,Not applicable,100,5,5,8,,8,8,Verified special acquisition requires 8 badge(s),,OK
Silvally,Type: Null,primary,0,gift,Wyndon — Battle Tower,1,Wyndon — Battle Tower,Gift,Not applicable,100,50,50,8,,8,8,Verified special acquisition requires 8 badge(s) | Wyndon — Battle Tower is accessible after 8 badge(s),,OK
Hydreigon,Deino,primary,0,wild_encounter,Lake of Outrage,1,Lake of Outrage,Random,Raining,2,50,52,6,,6,6,Lake of Outrage is accessible after 6 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Kommo-o,Jangmo-o,primary,0,wild_encounter,Lake of Outrage,1,Lake of Outrage,Random,Overcast,5,50,52,6,,6,6,Lake of Outrage is accessible after 6 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Kommo-o,Jangmo-o,primary,0,wild_encounter,Lake of Outrage,2,Lake of Outrage,Random,Intense Sun,5,50,52,6,,6,6,Lake of Outrage is accessible after 6 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Dragapult,Dreepy,primary,0,max_raid_battle,Rolling Fields,1,,,,,,,1,1,1,1,2★ Max Raids require 1 badge(s),,OK
Dragapult,Dreepy,alternate,1,wild_encounter,Lake of Outrage,1,Lake of Outrage,Random,Overcast,1,50,52,1,6,6,6,Lake of Outrage is accessible after 6 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Dragapult,Dreepy,alternate,1,wild_encounter,Lake of Outrage,2,Lake of Outrage,Random,Thunderstorm,2,50,52,1,6,6,6,Lake of Outrage is accessible after 6 badge(s) | Lv. 50 minimum requires 6 badge(s) under the wild catch cap,,OK
Zacian,Zacian,primary,0,story_encounter,Energy Plant — Tower Summit,1,Energy Plant — Tower Summit,Interact,Not applicable,100,70,70,8,,8,8,Verified special acquisition requires 8 badge(s) | Energy Plant — Tower Summit is accessible after 8 badge(s),,OK
Eternatus,Eternatus,primary,0,story_encounter,Energy Plant — Tower Summit,1,Energy Plant — Tower Summit,Interact,Not applicable,100,60,60,8,,8,8,Verified special acquisition requires 8 badge(s) | Energy Plant — Tower Summit is accessible after 8 badge(s),,OK
